sweep,H,L,T
748,-120,0,0
749,-104,0,0
750,-104,0,0
751,-120,0,0
752,-92,0,0
753,-116,0,0
754,-128,0,0
755,-104,0,0
756,-112,0,0
757,-108,0,0
758,-128,0,0
759,-120,0,0
760,-112,0,0
761,-92,0,0
762,-96,0,0
763,-88,0,0
764,-72,0,0
765,-88,0,0
766,-100,0,0
767,-120,0,0
768,-92,0,0
769,-88,0,0
770,-92,0,0
771,-108,0,0
772,-120,0,0
773,-120,0,0
774,-108,0,0
775,-128,0,0
776,-128,0,0
777,-96,0,0
778,-108,0,0
779,-128,0,0
780,-96,0,0
781,-96,0,0
782,-128,0,0
783,-120,0,0
784,-112,0,0
785,-128,0,0
786,-128,0,0
787,-120,0,0
788,-112,0,0
789,-128,0,0
790,-128,0,0
791,-112,0,0
792,-120,0,0
793,-112,0,0
794,-112,0,0
795,-120,0,0
796,-128,0,0
797,-120,0,0
798,-120,0,0
799,-104,0,0
800,-100,0,0
801,-96,0,0
802,-120,0,0
803,-120,0,0
804,-104,0,0
805,-104,0,0
806,-128,0,0
807,-112,0,0
808,-76,0,0
809,-92,0,0
810,-128,0,0
811,-120,0,0
812,-112,0,0
813,-120,0,0
814,-128,0,0
815,-112,0,0
816,-108,0,0
817,-108,0,0
818,-104,0,0
819,-120,0,0
820,-120,0,0
821,-128,0,0
822,-120,0,0
823,-120,0,0
824,-128,0,0
825,-120,0,0
826,-108,0,0
827,-112,0,0
828,-88,0,0
829,-120,0,0
830,-120,0,0
831,-112,0,0
832,-96,0,0
833,-92,0,0
834,-112,0,0
835,-128,0,0
836,-128,0,0
837,-100,0,0
838,-104,0,0
839,-128,0,0
840,-120,0,0
841,-92,0,0
842,-112,0,0
843,-128,0,0
844,-100,0,0
845,-112,0,0
846,-104,0,0
847,-100,0,0
848,-92,0,0
849,-100,0,0
850,-96,0,0
851,-112,0,0
852,-112,0,0
853,-128,0,0
854,-112,0,0
855,-104,0,0
856,-120,0,0
857,-100,0,0
858,-112,0,0
859,-128,0,0
860,-120,0,0
861,-108,0,0
862,-128,0,0
863,-120,0,0
864,-128,0,0
865,-128,0,0
866,-96,0,0
867,-84,0,0
868,-96,0,0
869,-108,0,0
870,-88,0,0
871,-128,0,0
872,-120,0,0
873,-112,0,0
874,-128,0,0
875,-128,0,0
876,-128,0,0
877,-96,0,0
878,-108,0,0
879,-100,0,0
880,-128,0,0
881,-116,0,0
882,-128,0,0
883,-112,0,0
884,-128,0,0
885,-128,0,0
886,-96,0,0
887,-128,0,0
888,-100,0,0
889,-108,0,0
890,-92,0,0
891,-96,0,0
892,-100,0,0
