sweep,H,L,T
1185,-68,0,0
1186,-56,0,0
1187,-40,0,0
1188,-72,0,0
1189,-64,0,0
1190,-68,0,0
1191,-60,0,0
1192,-64,0,0
1193,-76,0,0
1194,-64,0,0
1195,-36,0,0
1196,-40,0,0
1197,-56,0,0
1198,-68,0,0
1199,-92,0,0
1200,-100,0,0
1201,-88,0,0
1202,-76,0,0
1203,-64,0,0
1204,-84,0,0
1205,-64,0,0
1206,-52,0,0
1207,-76,0,0
1208,-60,0,0
1209,-80,0,0
1210,-88,0,0
1211,-112,0,0
1212,-108,0,0
1213,-100,0,0
1214,-88,0,0
1215,-80,0,0
1216,-44,0,0
1217,-52,0,0
1218,-64,0,0
1219,-44,0,0
1220,-36,0,0
1221,-48,0,0
1222,-36,0,0
1223,-88,0,0
1224,-84,0,0
1225,-84,0,0
1226,-112,0,0
1227,-112,0,0
1228,-64,0,0
1229,-48,0,0
1230,-56,0,0
1231,-60,0,0
1232,-52,0,0
1233,-68,0,0
1234,-92,0,0
1235,-80,0,0
1236,-96,0,0
1237,-72,0,0
1238,-72,0,0
1239,-56,0,0
1240,-40,0,0
1241,-40,0,0
1242,-52,0,0
1243,-60,0,0
1244,-84,0,0
1245,-72,0,0
1246,-60,0,0
1247,-68,0,0
1248,-56,0,0
1249,-76,0,0
1250,-84,0,0
1251,-128,0,0
1252,-112,0,0
1253,-104,0,0
1254,-80,0,0
1255,-64,0,0
1256,-68,0,0
1257,-88,0,0
1258,-72,0,0
1259,-76,0,0
1260,-96,0,0
1261,-80,0,0
1262,-104,0,0
1263,-120,0,0
1264,-108,0,0
1265,-96,0,0
1266,-80,0,0
1267,-52,0,0
1268,-88,0,0
1269,-92,0,0
1270,-96,0,0
1271,-76,0,0
1272,-84,0,0
1273,-76,0,0
1274,-68,0,0
1275,-72,0,0
1276,-88,0,0
1277,-56,0,0
1278,-52,0,0
1279,-44,0,0
1280,-68,0,0
1281,-76,0,0
1282,-84,0,0
1283,-76,0,0
1284,-84,0,0
1285,-80,0,0
1286,-72,0,0
1287,-92,0,0
1288,-76,0,0
1289,-72,0,0
1290,-68,0,0
1291,-64,0,0
1292,-100,0,0
1293,-80,0,0
1294,-72,0,0
1295,-96,0,0
1296,-96,0,0
1297,-96,0,0
1298,-88,0,0
1299,-64,0,0
1300,-44,0,0
1301,-60,0,0
1302,-72,0,0
1303,-68,0,0
1304,-60,0,0
1305,-40,0,0
1306,-56,0,0
1307,-68,0,0
1308,-72,0,0
1309,-80,0,0
1310,-84,0,0
1311,-84,0,0
1312,-120,0,0
1313,-96,0,0
1314,-128,0,0
1315,-100,0,0
1316,-116,0,0
1317,-76,0,0
1318,-116,0,0
1319,-112,0,0
1320,-100,0,0
1321,-104,0,0
1322,-64,0,0
1323,-56,0,0
1324,-80,0,0
1325,-60,0,0
1326,-100,0,0
1327,-92,0,0
1328,-76,0,0
1329,-112,0,0
1330,-128,0,0
1331,-104,0,0
1332,-92,0,0
1333,-88,0,0
1334,-60,0,0
1335,-60,0,0
1336,-88,0,0
1337,-80,0,0
1338,-52,0,0
1339,-64,0,0
1340,-72,0,0
1341,-76,0,0
1342,-52,0,0
1343,-76,0,0
1344,-60,0,0
1345,-80,0,0
1346,-48,0,0
1347,-60,0,0
1348,-64,0,0
1349,-52,0,0
1350,-48,0,0
1351,-56,0,0
1352,-68,0,0
1353,-84,0,0
1354,-76,0,0
1355,-96,0,0
1356,-88,0,0
1357,-92,0,0
1358,-96,0,0
1359,-88,0,0
1360,-68,0,0
1361,-88,0,0
1362,-60,0,0
1363,-40,0,0
1364,-44,0,0
1365,-56,0,0
1366,-64,0,0
1367,-84,0,0
1368,-92,0,0
1369,-76,0,0
1370,-72,0,0
1371,-88,0,0
1372,-104,0,0
1373,-92,0,0
1374,-56,0,0
1375,-68,0,0
1376,-64,0,0
1377,-52,0,0
1378,-68,0,0
1379,-52,0,0
1380,-44,0,0
1381,-56,0,0
1382,-60,0,0
1383,-56,0,0
1384,-48,0,0
1385,-56,0,0
1386,-56,0,0
1387,-60,0,0
1388,-52,0,0
1389,-76,0,0
1390,-84,0,0
1391,-84,0,0
1392,-88,0,0
1393,-72,0,0
1394,-72,0,0
1395,-56,0,0
1396,-48,0,0
1397,-68,0,0
1398,-56,0,0
1399,-52,0,0
1400,-56,0,0
1401,-56,0,0
1402,-40,0,0
1403,-40,0,0
1404,-56,0,0
1405,-44,0,0
1406,-32,0,0
1407,-60,0,0
1408,-56,0,0
1409,-48,0,0
1410,-68,0,0
1411,-52,0,0
1412,-88,0,0
1413,-104,0,0
1414,-104,0,0
1415,-120,0,0
1416,-76,0,0
1417,-64,0,0
1418,-44,0,0
1419,-60,0,0
1420,-56,0,0
1421,-56,0,0
1422,-64,0,0
1423,-36,0,0
1424,-56,0,0
1425,-72,0,0
1426,-84,0,0
1427,-88,0,0
1428,-112,0,0
1429,-100,0,0
1430,-96,0,0
1431,-112,0,0
1432,-92,0,0
1433,-72,0,0
1434,-100,0,0
1435,-92,0,0
1436,-96,0,0
1437,-72,0,0
1438,-52,0,0
1439,-32,0,0
1440,-48,0,0
1441,-48,0,0
1442,-72,0,0
1443,-88,0,0
1444,-64,0,0
1445,-48,0,0
1446,-64,0,0
1447,-64,0,0
1448,-92,0,0
1449,-92,0,0
1450,-92,0,0
1451,-56,0,0
1452,-56,0,0
1453,-68,0,0
1454,-60,0,0
1455,-80,0,0
1456,-72,0,0
1457,-72,0,0
1458,-64,0,0
1459,-64,0,0
1460,-64,0,0
1461,-96,0,0
1462,-96,0,0
1463,-104,0,0
1464,-84,0,0
1465,-68,0,0
1466,-112,0,0
1467,-108,0,0
1468,-88,0,0
1469,-76,0,0
1470,-104,0,0
1471,-112,0,0
1472,-64,0,0
1473,-48,0,0
1474,-40,0,0
1475,-64,0,0
1476,-92,0,0
1477,-88,0,0
1478,-100,0,0
1479,-76,0,0
1480,-64,0,0
1481,-68,0,0
1482,-76,0,0
1483,-76,0,0
1484,-100,0,0
1485,-112,0,0
1486,-104,0,0
1487,-88,0,0
1488,-116,0,0
1489,-84,0,0
1490,-68,0,0
1491,-68,0,0
1492,-68,0,0
1493,-64,0,0
1494,-48,0,0
